KernelSize,Sigma,SP_Noise,Gamma,Step_s,Step_t,Final_Objective,MSE,PSNR
15,5,0.01,0.005,0.9,0.3,NaN,NaN,NaN
15,5,0.01,0.005,0.9,0.9,NaN,NaN,NaN
15,5,0.01,0.05,0.05,0.05,156.062,0.00913867,20.3912
15,5,0.01,0.05,0.05,0.3,147.31,0.00846229,20.7251
15,5,0.01,0.05,0.05,0.9,141.191,0.00831259,20.8026
15,5,0.01,0.05,0.3,0.05,141.402,0.00895878,20.4775
15,5,0.01,0.05,0.3,0.3,138.452,0.0083771,20.7691
15,5,0.01,0.05,0.3,0.9,NaN,NaN,NaN
15,5,0.01,0.05,0.9,0.05,139.674,0.00894225,20.4855
15,5,0.01,0.05,0.9,0.3,NaN,NaN,NaN
15,5,0.01,0.05,0.9,0.9,NaN,NaN,NaN
15,5,0.01,0.5,0.05,0.05,1019,0.0139764,18.546
15,5,0.01,0.5,0.05,0.3,482.349,0.013197,18.7953
15,5,0.01,0.5,0.05,0.9,424.307,0.0132295,18.7846
15,5,0.01,0.5,0.3,0.05,484.848,0.0138341,18.5905
15,5,0.01,0.5,0.3,0.3,372.105,0.0134982,18.6973
15,5,0.01,0.5,0.3,0.9,NaN,NaN,NaN
15,5,0.01,0.5,0.9,0.05,389.13,0.0134748,18.7048
15,5,0.01,0.5,0.9,0.3,NaN,NaN,NaN
15,5,0.01,0.5,0.9,0.9,NaN,NaN,NaN
15,5,0.05,0.005,0.05,0.05,505.416,0.0183872,17.3548
15,5,0.05,0.005,0.05,0.3,485.721,0.00953478,20.2069
15,5,0.05,0.005,0.05,0.9,484.538,0.00948027,20.2318
15,5,0.05,0.005,0.3,0.05,505.287,0.0183816,17.3562
15,5,0.05,0.005,0.3,0.3,485.59,0.00955466,20.1978
15,5,0.05,0.005,0.3,0.9,NaN,NaN,NaN
15,5,0.05,0.005,0.9,0.05,505.279,0.0183798,17.3566
15,5,0.05,0.005,0.9,0.3,NaN,NaN,NaN
15,5,0.05,0.005,0.9,0.9,NaN,NaN,NaN
15,5,0.05,0.05,0.05,0.05,556.562,0.00966879,20.1463
15,5,0.05,0.05,0.05,0.3,538.321,0.00902283,20.4466
15,5,0.05,0.05,0.05,0.9,525.668,0.0088466,20.5322
15,5,0.05,0.05,0.3,0.05,525.971,0.00936872,20.2832
15,5,0.05,0.05,0.3,0.3,521.453,0.00885267,20.5293
15,5,0.05,0.05,0.3,0.9,NaN,NaN,NaN
15,5,0.05,0.05,0.9,0.05,523.061,0.00935192,20.291
15,5,0.05,0.05,0.9,0.3,NaN,NaN,NaN
15,5,0.05,0.05,0.9,0.9,NaN,NaN,NaN
15,5,0.05,0.5,0.05,0.05,2429.95,0.0157753,18.0202
15,5,0.05,0.5,0.05,0.3,974.333,0.0136783,18.6397
15,5,0.05,0.5,0.05,0.9,813.913,0.0135751,18.6726
15,5,0.05,0.5,0.3,0.05,970.87,0.0144996,18.3864
15,5,0.05,0.5,0.3,0.3,747.664,0.013988,18.5424
15,5,0.05,0.5,0.3,0.9,NaN,NaN,NaN
15,5,0.05,0.5,0.9,0.05,782.716,0.0140004,18.5386
15,5,0.05,0.5,0.9,0.3,NaN,NaN,NaN
15,5,0.05,0.5,0.9,0.9,NaN,NaN,NaN
15,5,0.15,0.005,0.05,0.05,1433.6,0.0387905,14.1127
15,5,0.15,0.005,0.05,0.3,1379.67,0.0163119,17.8749
15,5,0.15,0.005,0.05,0.9,1376.45,0.0178325,17.4879
15,5,0.15,0.005,0.3,0.05,1433.28,0.0388388,14.1073
15,5,0.15,0.005,0.3,0.3,1379.54,0.016572,17.8063
15,5,0.15,0.005,0.3,0.9,NaN,NaN,NaN
15,5,0.15,0.005,0.9,0.05,1433.25,0.0388414,14.1071
15,5,0.15,0.005,0.9,0.3,NaN,NaN,NaN
15,5,0.15,0.005,0.9,0.9,NaN,NaN,NaN
15,5,0.15,0.05,0.05,0.05,1468.06,0.0117048,19.3163
15,5,0.15,0.05,0.05,0.3,1444.7,0.011157,19.5245
15,5,0.15,0.05,0.05,0.9,1425.85,0.0109438,19.6083
15,5,0.15,0.05,0.3,0.05,1426.41,0.0112831,19.4757
15,5,0.15,0.05,0.3,0.3,1419.89,0.0109221,19.6169
15,5,0.15,0.05,0.3,0.9,NaN,NaN,NaN
15,5,0.15,0.05,0.9,0.05,1422.73,0.0112596,19.4848
15,5,0.15,0.05,0.9,0.3,NaN,NaN,NaN
15,5,0.15,0.05,0.9,0.9,NaN,NaN,NaN
15,5,0.15,0.5,0.05,0.05,4624.74,0.0203214,16.9205
15,5,0.15,0.5,0.05,0.3,2043.81,0.0154114,18.1216
15,5,0.15,0.5,0.05,0.9,1716.22,0.0149651,18.2492
15,5,0.15,0.5,0.3,0.05,2009.12,0.0169718,17.7027
15,5,0.15,0.5,0.3,0.3,1631.06,0.0159977,17.9594
15,5,0.15,0.5,0.3,0.9,NaN,NaN,NaN
15,5,0.15,0.5,0.9,0.05,1686.24,0.0160897,17.9345
15,5,0.15,0.5,0.9,0.3,NaN,NaN,NaN
